game_id,score_margin_2_mins_home,abs_score_margin_2_mins,close_game
20800001,3,3,True
20800002,13,13,False
20800003,17,17,False
20800004,-7,7,True
20800005,-8,8,True
20800006,-4,4,True
20800007,9,9,True
20800008,6,6,True
20800009,3,3,True
20800010,-16,16,False
20800011,-3,3,True
20800012,3,3,True
20800013,3,3,True
20800014,1,1,True
20800015,-38,38,False
20800016,21,21,False
20800017,-8,8,True
20800018,-10,10,False
20800019,24,24,False
20800020,-2,2,True
20800021,26,26,False
20800022,21,21,False
20800023,1,1,True
20800024,2,2,True
20800025,2,2,True
20800026,0,0,True
20800027,14,14,False
20800028,17,17,False
20800029,14,14,False
20800030,7,7,True
20800031,-8,8,True
20800032,-5,5,True
20800033,9,9,True
20800034,8,8,True
20800035,12,12,False
20800036,-2,2,True
20800037,-7,7,True
20800038,21,21,False
20800039,8,8,True
20800040,-10,10,False
20800041,1,1,True
20800042,-15,15,False
20800043,6,6,True
20800044,36,36,False
20800045,12,12,False
20800046,-25,25,False
20800047,-18,18,False
20800048,-28,28,False
20800049,-5,5,True
20800050,-18,18,False
20800051,-5,5,True
20800052,-4,4,True
20800053,26,26,False
20800054,6,6,True
20800055,16,16,False
20800056,-3,3,True
20800057,-3,3,True
20800058,-9,9,True
20800059,-12,12,False
20800060,5,5,True
20800061,8,8,True
20800062,6,6,True
20800063,20,20,False
20800064,11,11,False
20800065,3,3,True
20800066,5,5,True
20800067,-6,6,True
20800068,24,24,False
20800069,12,12,False
20800070,6,6,True
20800071,8,8,True
20800072,-9,9,True
20800073,17,17,False
20800074,13,13,False
20800075,16,16,False
20800076,1,1,True
20800077,-5,5,True
20800078,-5,5,True
20800079,16,16,False
20800080,24,24,False
20800081,8,8,True
20800082,-2,2,True
20800083,-10,10,False
20800084,2,2,True
20800085,-12,12,False
20800086,9,9,True
20800087,12,12,False
20800088,-16,16,False
20800089,-2,2,True
20800090,13,13,False
20800091,13,13,False
20800092,27,27,False
20800093,3,3,True
20800094,-9,9,True
20800095,0,0,True
20800096,0,0,True
20800097,0,0,True
20800098,-6,6,True
20800099,8,8,True
20800100,-13,13,False
20800101,-6,6,True
20800102,-2,2,True
20800103,11,11,False
20800104,-2,2,True
20800105,-4,4,True
20800106,-10,10,False
20800107,4,4,True
20800108,-6,6,True
20800109,-10,10,False
20800110,-26,26,False
20800111,4,4,True
20800112,-7,7,True
20800113,-20,20,False
20800114,2,2,True
20800115,-4,4,True
20800116,-14,14,False
20800117,8,8,True
20800118,10,10,False
20800119,-3,3,True
20800120,4,4,True
20800121,-2,2,True
20800122,26,26,False
20800123,5,5,True
20800124,10,10,False
20800125,-5,5,True
20800126,-5,5,True
20800127,1,1,True
20800128,-2,2,True
20800129,-4,4,True
20800130,-2,2,True
20800131,-17,17,False
20800132,-18,18,False
20800133,-12,12,False
20800134,25,25,False
20800135,13,13,False
20800136,-1,1,True
20800137,13,13,False
20800138,13,13,False
20800139,-4,4,True
20800140,7,7,True
20800141,-5,5,True
20800142,4,4,True
20800143,1,1,True
20800144,19,19,False
20800145,2,2,True
20800146,-12,12,False
20800147,13,13,False
20800148,-5,5,True
20800149,-13,13,False
20800150,14,14,False
20800151,6,6,True
20800152,-3,3,True
20800153,4,4,True
20800154,-17,17,False
20800155,19,19,False
20800156,9,9,True
20800157,6,6,True
20800158,12,12,False
20800159,-3,3,True
20800160,11,11,False
20800161,-3,3,True
20800162,-6,6,True
20800163,3,3,True
20800164,-5,5,True
20800165,-22,22,False
20800166,-16,16,False
20800167,9,9,True
20800168,44,44,False
20800169,18,18,False
20800170,-12,12,False
20800171,-1,1,True
20800172,-2,2,True
20800173,4,4,True
20800174,-3,3,True
20800175,2,2,True
20800176,-21,21,False
20800177,14,14,False
20800178,23,23,False
20800179,25,25,False
20800180,-28,28,False
20800181,-24,24,False
20800182,-5,5,True
20800183,16,16,False
20800184,-7,7,True
20800185,-4,4,True
20800186,18,18,False
20800187,3,3,True
20800188,13,13,False
20800189,3,3,True
20800190,-11,11,False
20800191,11,11,False
20800192,12,12,False
20800193,-12,12,False
20800194,6,6,True
20800195,-28,28,False
20800196,10,10,False
20800197,13,13,False
20800198,7,7,True
20800199,9,9,True
20800200,-7,7,True
20800201,-13,13,False
20800202,-1,1,True
20800203,3,3,True
20800204,-10,10,False
20800205,30,30,False
20800206,-22,22,False
20800207,6,6,True
20800208,0,0,True
20800209,25,25,False
20800210,2,2,True
20800211,34,34,False
20800212,3,3,True
20800213,7,7,True
20800214,3,3,True
20800215,19,19,False
20800216,-12,12,False
20800217,4,4,True
20800218,13,13,False
20800219,24,24,False
20800220,38,38,False
20800221,4,4,True
20800222,-3,3,True
20800223,-19,19,False
20800224,0,0,True
20800225,5,5,True
20800226,23,23,False
20800227,19,19,False
20800228,13,13,False
20800229,-1,1,True
20800230,-5,5,True
20800231,-9,9,True
20800232,11,11,False
20800233,23,23,False
20800234,15,15,False
20800235,6,6,True
20800236,-4,4,True
20800237,13,13,False
20800238,-5,5,True
20800239,10,10,False
20800240,-1,1,True
20800241,-13,13,False
20800242,19,19,False
20800243,-12,12,False
20800244,-20,20,False
20800245,-19,19,False
20800246,4,4,True
20800247,-13,13,False
20800248,-14,14,False
20800249,9,9,True
20800250,-2,2,True
20800251,18,18,False
20800252,11,11,False
20800253,13,13,False
20800254,3,3,True
20800255,-4,4,True
20800256,-22,22,False
20800257,-7,7,True
20800258,-4,4,True
20800259,-5,5,True
20800260,-8,8,True
20800261,40,40,False
20800262,-1,1,True
20800263,8,8,True
20800264,6,6,True
20800265,42,42,False
20800266,15,15,False
20800267,-11,11,False
20800268,-3,3,True
20800269,17,17,False
20800270,8,8,True
20800271,8,8,True
20800272,8,8,True
20800273,-9,9,True
20800274,20,20,False
20800275,-18,18,False
20800276,10,10,False
20800277,-7,7,True
20800278,4,4,True
20800279,26,26,False
20800280,25,25,False
20800281,13,13,False
20800282,3,3,True
20800283,16,16,False
20800284,14,14,False
20800285,3,3,True
20800286,23,23,False
20800287,-22,22,False
20800288,4,4,True
20800289,-8,8,True
20800290,-18,18,False
20800291,20,20,False
20800292,7,7,True
20800293,8,8,True
20800294,37,37,False
20800295,0,0,True
20800296,-31,31,False
20800297,6,6,True
20800298,3,3,True
20800299,0,0,True
20800300,14,14,False
20800301,2,2,True
20800302,16,16,False
20800303,-10,10,False
20800304,-8,8,True
20800305,17,17,False
20800306,6,6,True
20800307,2,2,True
20800308,0,0,True
20800309,2,2,True
20800310,8,8,True
20800311,17,17,False
20800312,8,8,True
20800313,14,14,False
20800314,14,14,False
20800315,-14,14,False
20800316,16,16,False
20800317,-1,1,True
20800318,-6,6,True
20800319,8,8,True
20800320,9,9,True
20800321,25,25,False
20800322,9,9,True
20800323,-34,34,False
20800324,1,1,True
20800325,8,8,True
20800326,18,18,False
20800327,-17,17,False
20800328,-29,29,False
20800329,9,9,True
20800330,2,2,True
20800331,10,10,False
20800332,-16,16,False
20800333,1,1,True
20800334,0,0,True
20800335,-11,11,False
20800336,7,7,True
20800337,2,2,True
20800338,-5,5,True
20800339,15,15,False
20800340,3,3,True
20800341,6,6,True
20800342,9,9,True
20800343,22,22,False
20800344,-8,8,True
20800345,-29,29,False
20800346,13,13,False
20800347,-7,7,True
20800348,17,17,False
20800349,3,3,True
20800350,12,12,False
20800351,7,7,True
20800352,-8,8,True
20800353,-18,18,False
20800354,7,7,True
20800355,-11,11,False
20800356,-11,11,False
20800357,4,4,True
20800358,21,21,False
20800359,-14,14,False
20800360,-2,2,True
20800361,-3,3,True
20800362,-11,11,False
20800363,9,9,True
20800364,36,36,False
20800365,2,2,True
20800366,1,1,True
20800367,3,3,True
20800368,2,2,True
20800369,-10,10,False
20800370,14,14,False
20800371,-9,9,True
20800372,-19,19,False
20800373,-1,1,True
20800374,1,1,True
20800375,15,15,False
20800376,0,0,True
20800377,0,0,True
20800378,-2,2,True
20800379,12,12,False
20800380,16,16,False
20800381,24,24,False
20800382,-17,17,False
20800383,-4,4,True
20800384,-28,28,False
20800385,4,4,True
20800386,3,3,True
20800387,6,6,True
20800388,-16,16,False
20800389,-9,9,True
20800390,1,1,True
20800391,1,1,True
20800392,-8,8,True
20800393,1,1,True
20800394,12,12,False
20800395,5,5,True
20800396,42,42,False
20800397,8,8,True
20800398,3,3,True
20800399,6,6,True
20800400,15,15,False
20800401,-11,11,False
20800402,-14,14,False
20800403,31,31,False
20800404,-25,25,False
20800405,-1,1,True
20800406,19,19,False
20800407,5,5,True
20800408,-22,22,False
20800409,7,7,True
20800410,7,7,True
20800411,7,7,True
20800412,1,1,True
20800413,17,17,False
20800414,8,8,True
20800415,11,11,False
20800416,5,5,True
20800417,-10,10,False
20800418,12,12,False
20800419,5,5,True
20800420,8,8,True
20800421,20,20,False
20800422,-1,1,True
20800423,4,4,True
20800424,-4,4,True
20800425,-7,7,True
20800426,15,15,False
20800427,-4,4,True
20800428,-9,9,True
20800429,3,3,True
20800430,3,3,True
20800431,3,3,True
20800432,-1,1,True
20800433,9,9,True
20800434,-4,4,True
20800435,5,5,True
20800436,4,4,True
20800437,0,0,True
20800438,10,10,False
20800439,-19,19,False
20800440,3,3,True
20800441,-13,13,False
20800442,0,0,True
20800443,10,10,False
20800444,-6,6,True
20800445,-18,18,False
20800446,4,4,True
20800447,-2,2,True
20800448,-48,48,False
20800449,23,23,False
20800450,21,21,False
20800451,5,5,True
20800452,-8,8,True
20800453,-2,2,True
20800454,-8,8,True
20800455,-1,1,True
20800456,15,15,False
20800457,4,4,True
20800458,-3,3,True
20800459,-2,2,True
20800460,9,9,True
20800461,-8,8,True
20800462,10,10,False
20800463,2,2,True
20800464,-2,2,True
20800465,2,2,True
20800466,0,0,True
20800467,-27,27,False
20800468,5,5,True
20800469,1,1,True
20800470,-10,10,False
20800471,5,5,True
20800472,-2,2,True
20800473,8,8,True
20800474,23,23,False
20800475,25,25,False
20800476,20,20,False
20800477,4,4,True
20800478,1,1,True
20800479,8,8,True
20800480,-14,14,False
20800481,10,10,False
20800482,0,0,True
20800483,9,9,True
20800484,26,26,False
20800485,10,10,False
20800486,-10,10,False
20800487,11,11,False
20800488,4,4,True
20800489,13,13,False
20800490,-1,1,True
20800491,-1,1,True
20800492,-6,6,True
20800493,2,2,True
20800494,2,2,True
20800495,1,1,True
20800496,4,4,True
20800497,0,0,True
20800498,19,19,False
20800499,12,12,False
20800500,14,14,False
20800501,-3,3,True
20800502,8,8,True
20800503,-3,3,True
20800504,21,21,False
20800505,4,4,True
20800506,-1,1,True
20800507,5,5,True
20800508,4,4,True
20800509,-3,3,True
20800510,6,6,True
20800511,3,3,True
20800512,-2,2,True
20800513,-9,9,True
20800514,-5,5,True
20800515,31,31,False
20800516,-9,9,True
20800517,-1,1,True
20800518,7,7,True
20800519,-3,3,True
20800520,44,44,False
20800521,8,8,True
20800522,-4,4,True
20800523,28,28,False
20800524,-2,2,True
20800525,-5,5,True
20800526,1,1,True
20800527,19,19,False
20800528,37,37,False
20800529,10,10,False
20800530,23,23,False
20800531,18,18,False
20800532,23,23,False
20800533,-2,2,True
20800534,8,8,True
20800535,5,5,True
20800536,3,3,True
20800537,-3,3,True
20800538,4,4,True
20800539,30,30,False
20800540,-5,5,True
20800541,1,1,True
20800542,1,1,True
20800543,20,20,False
20800544,22,22,False
20800545,8,8,True
20800546,-8,8,True
20800547,-13,13,False
20800548,-5,5,True
20800549,-1,1,True
20800550,-2,2,True
20800551,6,6,True
20800552,5,5,True
20800553,-3,3,True
20800554,6,6,True
20800555,0,0,True
20800556,-5,5,True
20800557,-14,14,False
20800558,5,5,True
20800559,2,2,True
20800560,-20,20,False
20800561,-2,2,True
20800562,-4,4,True
20800563,-2,2,True
20800564,0,0,True
20800565,-37,37,False
20800566,-1,1,True
20800567,21,21,False
20800568,-2,2,True
20800569,31,31,False
20800570,8,8,True
20800571,-4,4,True
20800572,17,17,False
20800573,-6,6,True
20800574,-1,1,True
20800575,-4,4,True
20800576,-13,13,False
20800577,-6,6,True
20800578,-2,2,True
20800579,-1,1,True
20800580,5,5,True
20800581,21,21,False
20800582,-1,1,True
20800583,13,13,False
20800584,-7,7,True
20800585,15,15,False
20800586,1,1,True
20800587,-7,7,True
20800588,2,2,True
20800589,1,1,True
20800590,-22,22,False
20800591,2,2,True
20800592,-2,2,True
20800593,-9,9,True
20800594,1,1,True
20800595,11,11,False
20800596,4,4,True
20800597,-15,15,False
20800598,5,5,True
20800599,-3,3,True
20800600,-15,15,False
20800601,0,0,True
20800602,-10,10,False
20800603,-2,2,True
20800604,-4,4,True
20800605,4,4,True
20800606,-4,4,True
20800607,3,3,True
20800608,20,20,False
20800609,-4,4,True
20800610,21,21,False
20800611,11,11,False
20800612,10,10,False
20800613,-6,6,True
20800614,19,19,False
20800615,30,30,False
20800616,4,4,True
20800617,11,11,False
20800618,17,17,False
20800619,-19,19,False
20800620,7,7,True
20800621,37,37,False
20800622,5,5,True
20800623,6,6,True
20800624,-7,7,True
20800625,-6,6,True
20800626,0,0,True
20800627,-7,7,True
20800628,-7,7,True
20800629,22,22,False
20800630,21,21,False
20800631,-16,16,False
20800632,7,7,True
20800633,29,29,False
20800634,18,18,False
20800635,5,5,True
20800636,-12,12,False
20800637,1,1,True
20800638,-1,1,True
20800639,8,8,True
20800640,2,2,True
20800641,4,4,True
20800642,-8,8,True
20800643,2,2,True
20800644,-5,5,True
20800645,14,14,False
20800646,25,25,False
20800647,16,16,False
20800648,-4,4,True
20800649,17,17,False
20800650,-4,4,True
20800651,3,3,True
20800652,-2,2,True
20800653,20,20,False
20800654,21,21,False
20800655,-10,10,False
20800656,16,16,False
20800657,1,1,True
20800658,-5,5,True
20800659,7,7,True
20800660,14,14,False
20800661,-20,20,False
20800662,10,10,False
20800663,25,25,False
20800664,-17,17,False
20800665,-3,3,True
20800666,-5,5,True
20800667,4,4,True
20800668,19,19,False
20800669,20,20,False
20800670,-5,5,True
20800671,8,8,True
20800672,-1,1,True
20800673,16,16,False
20800674,6,6,True
20800675,-4,4,True
20800676,22,22,False
20800677,16,16,False
20800678,-23,23,False
20800679,14,14,False
