game_id,final_score_margin,winning_team
20800001,5,home
20800002,13,home
20800003,20,home
20800004,-14,away
20800005,-11,away
20800006,-10,away
20800007,5,home
20800008,6,home
20800009,2,home
20800010,-11,away
20800011,-5,away
20800012,11,home
20800013,4,home
20800014,-5,away
20800015,-38,away
20800016,17,home
20800017,-10,away
20800018,-13,away
20800019,29,home
20800020,0,away
20800021,26,home
20800022,16,home
20800023,2,home
20800024,0,away
20800025,1,home
20800026,7,home
20800027,13,home
20800028,16,home
20800029,18,home
20800030,8,home
20800031,-8,away
20800032,-10,away
20800033,12,home
20800034,10,home
20800035,12,home
20800036,-4,away
20800037,-7,away
20800038,22,home
20800039,11,home
20800040,-8,away
20800041,3,home
20800042,-18,away
20800043,3,home
20800044,34,home
20800045,11,home
20800046,-19,away
20800047,-16,away
20800048,-28,away
20800049,-4,away
20800050,-17,away
20800051,-10,away
20800052,-7,away
20800053,23,home
20800054,3,home
20800055,14,home
20800056,0,away
20800057,0,away
20800058,-8,away
20800059,-13,away
20800060,7,home
20800061,5,home
20800062,10,home
20800063,18,home
20800064,10,home
20800065,0,away
20800066,3,home
20800067,-6,away
20800068,18,home
20800069,12,home
20800070,4,home
20800071,7,home
20800072,-16,away
20800073,17,home
20800074,7,home
20800075,12,home
20800076,3,home
20800077,-5,away
20800078,-9,away
20800079,18,home
20800080,25,home
20800081,11,home
20800082,-9,away
20800083,-8,away
20800084,4,home
20800085,-10,away
20800086,8,home
20800087,11,home
20800088,-12,away
20800089,-4,away
20800090,10,home
20800091,17,home
20800092,29,home
20800093,8,home
20800094,-7,away
20800095,7,home
20800096,5,home
20800097,5,home
20800098,-8,away
20800099,6,home
20800100,-13,away
20800101,-5,away
20800102,-7,away
20800103,12,home
20800104,-8,away
20800105,0,away
20800106,-10,away
20800107,1,home
20800108,-8,away
20800109,-11,away
20800110,-29,away
20800111,4,home
20800112,-7,away
20800113,-17,away
20800114,8,home
20800115,-5,away
20800116,-12,away
20800117,11,home
20800118,7,home
20800119,-5,away
20800120,8,home
20800121,-2,away
20800122,20,home
20800123,7,home
20800124,10,home
20800125,-9,away
20800126,0,away
20800127,5,home
20800128,-2,away
20800129,2,home
20800130,0,away
20800131,-11,away
20800132,-18,away
20800133,-12,away
20800134,25,home
20800135,12,home
20800136,-5,away
20800137,13,home
20800138,9,home
20800139,0,away
20800140,11,home
20800141,-5,away
20800142,0,away
20800143,6,home
20800144,18,home
20800145,-2,away
20800146,-11,away
20800147,12,home
20800148,-3,away
20800149,-17,away
20800150,17,home
20800151,13,home
20800152,-7,away
20800153,9,home
20800154,-24,away
20800155,15,home
20800156,9,home
20800157,5,home
20800158,7,home
